"Text","Sentiment","SentimentConfidence","Date","User","Location","User_timezone"
"@VirginAmerica What @dhepburn said.","neutral",1,"2015-02-24 11:35:52 -0","cairdin","","Eastern Time (US & Canada)"
"@VirginAmerica plus you've added commercials to the experience... tacky.","positive",0.3486,"2015-02-24 11:15:59 -0","jnardino","","Pacific Time (US & Canada)"
"@VirginAmerica I didn't today... Must mean I need to take another trip!","neutral",0.6837,"2015-02-24 11:15:48 -0","yvonnalynn","Lets Play","Central Time (US & Canada)"
"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse","negative",1,"2015-02-24 11:15:36 -0","jnardino","","Pacific Time (US & Canada)"
"@VirginAmerica and it's a really big bad thing about it","negative",1,"2015-02-24 11:14:45 -0","jnardino","","Pacific Time (US & Canada)"
"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA","negative",1,"2015-02-24 11:14:33 -0","jnardino","","Pacific Time (US & Canada)"
"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)","positive",0.6745,"2015-02-24 11:13:57 -0","cjmcginnis","San Francisco CA","Pacific Time (US & Canada)"
"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP","neutral",0.634,"2015-02-24 11:12:29 -0","pilot","Los Angeles","Pacific Time (US & Canada)"
"@virginamerica Well, I didn't…but NOW I DO! :-D","positive",0.6559,"2015-02-24 11:11:19 -0","dhepburn","San Diego","Pacific Time (US & Canada)"
"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.","positive",1,"2015-02-24 10:53:27 -0","YupitsTate","Los Angeles","Eastern Time (US & Canada)"
"@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24","neutral",0.6769,"2015-02-24 10:48:24 -0","idk_but_youtube","1/1 loner squad","Eastern Time (US & Canada)"
"@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D","positive",1,"2015-02-24 10:30:40 -0","HyperCamiLax","NYC","America/New_York"
"@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p","positive",1,"2015-02-24 10:30:06 -0","HyperCamiLax","NYC","America/New_York"
"@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn","positive",0.6451,"2015-02-24 10:21:28 -0","mollanderson","","Eastern Time (US & Canada)"
"@VirginAmerica Thanks!","positive",1,"2015-02-24 10:15:29 -0","sjespers","San Francisco, CA","Pacific Time (US & Canada)"
"@VirginAmerica SFO-PDX schedule is still MIA.","negative",0.6842,"2015-02-24 10:01:50 -0","smartwatermelon","palo alto, ca","Pacific Time (US & Canada)"
"@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo","positive",1,"2015-02-24 09:42:59 -0","ItzBrianHunty","west covina","Pacific Time (US & Canada)"
"@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!","negative",1,"2015-02-24 09:39:46 -0","heatherovieda","this place called NYC","Eastern Time (US & Canada)"
"I ❤️ flying @VirginAmerica. ☺️👍","positive",1,"2015-02-24 09:15:00 -0","thebrandiray","Somewhere celebrating life. ","Atlantic Time (Canada)"
"@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.","positive",1,"2015-02-24 09:04:10 -0","JNLpierce","Boston | Waltham","Quito"
"@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???","negative",0.6705,"2015-02-24 08:55:56 -0","MISSGJ","",""
"@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA","positive",1,"2015-02-24 08:49:01 -0","DT_Les","",""
"@VirginAmerica I love the hipster innovation. You are a feel good brand.","positive",1,"2015-02-24 08:30:15 -0","ElvinaBeck","Los Angeles","Pacific Time (US & Canada)"
