"Text","Sentiment","SentimentConfidence","Date","Candidate","User","Location","User_timezone"
"RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate","neutral",0.6578,"2015-08-07 09:54:46 -0700","No candidate mentioned","I_Am_Kenzi","","Quito"
"RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF…","positive",0.6333,"2015-08-07 09:54:46 -0700","Scott Walker","PeacefulQuest","",""
"RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.","neutral",0.6629,"2015-08-07 09:54:46 -0700","No candidate mentioned","PussssyCroook","",""
"RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on …","positive",1,"2015-08-07 09:54:45 -0700","No candidate mentioned","MattFromTexas31","Texas","Central Time (US & Canada)"
"RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co…","positive",0.7045,"2015-08-07 09:54:45 -0700","Donald Trump","sharonDay5","","Arizona"
"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews","positive",0.6332,"2015-08-07 09:54:44 -0700","Ted Cruz","DRJohnson11","","Central Time (US & Canada)"
"RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://…","negative",0.6761,"2015-08-07 09:54:44 -0700","No candidate mentioned","DebWilliams57","North Georgia","Eastern Time (US & Canada)"
"Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate","neutral",1,"2015-08-07 09:54:44 -0700","No candidate mentioned","RaulAReyes","New York NY","Eastern Time (US & Canada)"
"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate","negative",0.6889,"2015-08-07 09:54:44 -0700","Ben Carson","kengpdx","","Pacific Time (US & Canada)"
"RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD","negative",0.6778,"2015-08-07 09:54:42 -0700","No candidate mentioned","Kathielarsyn","",""
"@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate","negative",1,"2015-08-07 09:54:42 -0700","Donald Trump","jnjsmom","Peoria, IL","Central Time (US & Canada)"
"RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 

Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV","positive",1,"2015-08-07 09:54:42 -0700","Mike Huckabee","KLWorster","Fargo, ND","Central Time (US & Canada)"
"Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ","negative",0.6957,"2015-08-07 09:54:42 -0700","No candidate mentioned","wiggerblonde","",""
"RT @ArcticFox2016: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/TtFG7KYcd9""","neutral",0.6421,"2015-08-07 09:54:42 -0700","Jeb Bush","NCBibleThumper","Montgomery, AL ","Central Time (US & Canada)"
"RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate","positive",1,"2015-08-07 09:54:42 -0700","Scott Walker","In_Related_News","San Diego, California","Pacific Time (US & Canada)"
"Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate","negative",1,"2015-08-07 09:54:41 -0700","Chris Christie","MDiner92","","Central Time (US & Canada)"
"RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.…","negative",0.6264,"2015-08-07 09:54:41 -0700","Donald Trump","gina_catch22gg","",""
"RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx","negative",0.6629,"2015-08-07 09:54:40 -0700","Donald Trump","ERNESTZorro","","Mountain Time (US & Canada)"
"reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate","negative",1,"2015-08-07 09:54:40 -0700","No candidate mentioned","LordWhatAMess","","Eastern Time (US & Canada)"
"RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate","negative",0.6669,"2015-08-07 09:54:40 -0700","Mike Huckabee","oak523","NJ","Eastern Time (US & Canada)"
"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate","positive",1,"2015-08-07 09:54:39 -0700","Ted Cruz","rickymcghee","fripp island,sc/ southeast ga",""
"RT @mchamric: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWr”","negative",0.3511,"2015-08-07 09:54:39 -0700","Donald Trump","TeaTraitors","Conspiracy Theoryland","Pacific Time (US & Canada)"
"RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate","negative",1,"2015-08-07 09:54:39 -0700","No candidate mentioned","hoopsfanatic28f","Lynnwood, WA","Pacific Time (US & Canada)"
"RT @thekevinryder: #GOPDebate (Vine by @dabulldawg88) https://t.co/XKxVDrADce","neutral",0.6701,"2015-08-07 09:54:38 -0700","No candidate mentioned","ottcanada","Vancouver, Canada","Eastern Time (US & Canada)"
"RT @MrPooni: Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate http://t.co/…","negative",0.6989,"2015-08-07 09:54:38 -0700","No candidate mentioned","brattymad","",""
"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.","negative",1,"2015-08-07 09:54:38 -0700","Marco Rubio","America4Aliens","Sydney, New South Wales",""
"RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badger…","negative",1,"2015-08-07 09:54:38 -0700","Scott Walker","mch7576","USA ",""
"RT @feministabulous: It's not a competition, but how have we moved so far on gay rights but women's rights is worse than it's ever been? #G…","negative",0.3401,"2015-08-07 09:54:38 -0700","No candidate mentioned","lex_ruu","","Eastern Time (US & Canada)"
"RT @mch7576: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu””","negative",1,"2015-08-07 09:54:37 -0700","Donald Trump","OldOne4Sure","Cleveland Texas","Central Time (US & Canada)"
"RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e…","negative",0.3295,"2015-08-07 09:54:37 -0700","No candidate mentioned","outlawjoZ","EveryWhere","Eastern Time (US & Canada)"
"@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone","negative",1,"2015-08-07 09:54:36 -0700","No candidate mentioned","BMcCluregolf","Green Bay, WI",""
"RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to …","negative",0.6458,"2015-08-07 09:54:36 -0700","Ted Cruz","Ruppy_puppy","","Atlantic Time (Canada)"
"The First #GOPDebate: Social Media Reaction and More http://t.co/X6KUVSkltF","neutral",0.6629,"2015-08-07 09:54:36 -0700","No candidate mentioned","litvakfeliks","European Union","Bratislava"
"#SocialMedia: The First #GOPDebate: Social Media Reaction and More http://t.co/ogoYfNyiKj","neutral",1,"2015-08-07 09:54:36 -0700","No candidate mentioned","audreyspizza","Canada","Eastern Time (US & Canada)"
"RT WinesdayPodcast : An update on FoxNews tech failures for the #GOPDebate http://t.co/FGGlf2J5HU http://t.co/Zw35DkUozi","negative",0.6576,"2015-08-07 09:54:35 -0700","No candidate mentioned","1337invisible","News about tech and more!","Pacific Time (US & Canada)"
"RT @AmyMek: The Torched has been passed -&gt;.@CandyCrowley is no longer the most Famous Political Assassin! Congratulations @megynkelly, U Wi…","negative",0.6393,"2015-08-07 09:54:35 -0700","No candidate mentioned","TeaParty2A","United States of America","Mazatlan"
"RT @stockwizards3: Trump/Carson ticket would win in a landslide...
@realDonaldTrump @seanhannity @AnnCoulter #Republican #potus #Trump2016 …","negative",0.3402,"2015-08-07 09:54:35 -0700","","RotoStocks","",""
"RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://t…","negative",1,"2015-08-07 09:54:35 -0700","Jeb Bush","shirley_3008","",""
"RT @ali: After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism …","negative",1,"2015-08-07 09:54:33 -0700","No candidate mentioned","jasonrlee","Arizona","Arizona"
"RT @itsashlyperez: listening to fetty wap while packing because i'm a true american #GOPDebate #doesthishashtagexpire?","neutral",0.6632,"2015-08-07 09:54:33 -0700","No candidate mentioned","Julie38xo_","",""
"RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate","negative",0.6559,"2015-08-07 09:54:33 -0700","Donald Trump","JmeMad","Chicago, IL","Central Time (US & Canada)"
"RT @JamelleMyBelle: Meanwhile, in the White House...  #GOPDebate http://t.co/nouUUt5hKq","negative",0.6596,"2015-08-07 09:54:33 -0700","No candidate mentioned","nathansiegel_","","Eastern Time (US & Canada)"
"RT @RowdyGentleman: If you’re planning out a #GOPDebate drinking game right now, you’re a Rowdy Gentleman.","neutral",0.3261,"2015-08-07 09:54:33 -0700","No candidate mentioned","Chase_Lea10","","Arizona"
"RT @brownblaze: PLEASE RT. #KKKorGOP #GOPDebate http://t.co/YaqYAC3uV3","negative",0.6869,"2015-08-07 09:54:32 -0700","No candidate mentioned","Blessed_Sharday","Tac","Pacific Time (US & Canada)"
"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate","negative",1,"2015-08-07 09:54:32 -0700","Donald Trump","SarahMLevin","Washington, DC","Atlantic Time (Canada)"
"RT @LeKarmaSucre: How the #GOPDebate handled #BlackLivesMatter 

http://t.co/8ZGdY6lPCT","negative",0.6591,"2015-08-07 09:54:32 -0700","No candidate mentioned","briaslide","","Central Time (US & Canada)"
"RT @palmaceiahome1: The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate","neutral",0.3407,"2015-08-07 09:54:31 -0700","Donald Trump","leeleemunster","",""
"RT @philstockworld: From our Live Chat Room: #GOPDebate #Trump #Futures $SPY #NonFarmPayrolls #Jobs #Netflix -- http://t.co/0K06Sf81rq http…","neutral",0.6524,"2015-08-07 09:54:31 -0700","Donald Trump","dbizcap","California",""
"“@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks","positive",0.6353,"2015-08-07 09:54:30 -0700","Donald Trump","held_jana","",""
"RT @gov: Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers","negative",0.6458,"2015-08-07 09:54:28 -0700","Mike Huckabee","Matthew8News","Richmond, VA","Eastern Time (US & Canada)"
"RT @ariannahuff: The best and worst from the #GOPDebate http://t.co/YkI30j7hhO","neutral",0.6327,"2015-08-07 09:54:27 -0700","No candidate mentioned","Mor_Fost","Fort Worth","New Delhi"
"RT @megynkelly: .@ChrisStirewalt: Big moments were @RandPaul vs. @ChrisChristie, and @realDonaldTrump reaction to women question. #KellyFil…","positive",0.6397,"2015-08-07 09:54:26 -0700","Rand Paul","WorldWarJess","U.S. city with the most Cubans","Atlantic Time (Canada)"
"RT @STYLEMOM: Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebate…","negative",1,"2015-08-07 09:54:26 -0700","No candidate mentioned","Radiant_Body","Denver, CO","Central Time (US & Canada)"
"@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate","negative",0.6633,"2015-08-07 09:54:26 -0700","Donald Trump","NewsWriter2","Los Angeles","Pacific Time (US & Canada)"
"RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate","negative",0.6957,"2015-08-07 09:54:26 -0700","No candidate mentioned","realmojesse5372","Houston, TX","Central Time (US & Canada)"
"RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chri…","negative",1,"2015-08-07 09:54:25 -0700","No candidate mentioned","HeathenTech","Midgard","Mountain Time (US & Canada)"
"RT @Bipartisanism: The #GOPDebate response to #BlackLivesMatter was pathetic. http://t.co/isMXbrRM0h","negative",1,"2015-08-07 09:54:25 -0700","No candidate mentioned","mombizzz","U.S.A","Central Time (US & Canada)"
"RT @factcheckdotorg: .@JebBush said he cut FL taxes by $19B. But that includes cuts in estate taxes mandated by federal law. #GOPDebate. ht…","negative",0.6611,"2015-08-07 09:54:25 -0700","No candidate mentioned","janet_sistare","Rhinebeck, NY",""
"RT @mydaughtersarmy: Dear GOP,
If you want to stop abortions... 

#GOPDebate 
http://t.co/RbL1t4iPx6","negative",0.6667,"2015-08-07 09:54:24 -0700","No candidate mentioned","debby_lowery","NW Florida","Central Time (US & Canada)"
"RT @KarrattiPaul: Join ISIS and sign your death warrant,
Signed @tedcruz next President of the US󾓦

#GOPDebate #WakeUpAmerica #CruzCrew htt…","positive",0.3659,"2015-08-07 09:54:24 -0700","Ted Cruz","MelanieEli2015","",""
"RT @P0TUS: #GOPDebate closing statements: http://t.co/S15NLilLso","negative",0.6702,"2015-08-07 09:54:24 -0700","No candidate mentioned","marcylauren","Delaware","Eastern Time (US & Canada)"
"RT @AmyMek: Status 👉 Single 

I broke up with @FoxNews last night!   Goodbye @megynkelly, @BretBaier &amp; Chris Wallace.

#GOPDebate http://t.…","negative",1,"2015-08-07 09:54:23 -0700","No candidate mentioned","search4rr","Florida,, usually","Eastern Time (US & Canada)"
"RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.

After, only 3 saw him positively.  http://…","positive",0.6693,"2015-08-07 09:54:23 -0700","Donald Trump","tcot2014"," NYC","Eastern Time (US & Canada)"
