"Text","Sentiment","SentimentConfidence","Date","Query"
"#AAPL:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx","neutral",0.6264,"Mon Dec 01 19:30:03  2014","#AAPL OR @Apple"
"RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL #aapl
http://t.co/hGFcjYa0E9","neutral",0.8129,"Mon Dec 01 19:43:51  2014","#AAPL OR @Apple"
"My cat only chews @apple cords. Such an #AppleSnob.","neutral",1,"Mon Dec 01 19:50:28  2014","#AAPL OR @Apple"
"I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see","neutral",0.5848,"Mon Dec 01 20:26:34  2014","#AAPL OR @Apple"
"Nobody expects the Spanish Inquisition #AAPL","neutral",0.6474,"Mon Dec 01 20:29:33  2014","#AAPL OR @Apple"
"#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS","neutral",0.5975,"Mon Dec 01 20:30:03  2014","#AAPL OR @Apple"
"Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB","positive",0.8468,"Mon Dec 01 20:32:45  2014","#AAPL OR @Apple"
"CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK","positive",0.6736,"Mon Dec 01 20:34:31  2014","#AAPL OR @Apple"
"Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL","neutral",0.7997,"Mon Dec 01 20:36:47  2014","#AAPL OR @Apple"
"#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd","neutral",0.636,"Mon Dec 01 20:45:03  2014","#AAPL OR @Apple"
"WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple","negative",1,"Mon Dec 01 20:46:01  2014","#AAPL OR @Apple"
"Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 #AAPL #iWatch #AppleWatch","neutral",0.6658,"Mon Dec 01 20:47:12  2014","#AAPL OR @Apple"
"The Best-Designed #iPhone #Apps In the World, According to @apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz","neutral",0.8381,"Mon Dec 01 21:00:15  2014","#AAPL OR @Apple"
"RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3","positive",1,"Mon Dec 01 21:03:32  2014","#AAPL OR @Apple"
"@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync","negative",1,"Mon Dec 01 21:09:50  2014","#AAPL OR @Apple"
"#aapl @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors","neutral",0.4798,"Mon Dec 01 21:29:45  2014","#AAPL OR @Apple"
"WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK","negative",0.9399,"Mon Dec 01 21:35:14  2014","#AAPL OR @Apple"
"@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?","neutral",0.6621,"Mon Dec 01 21:53:12  2014","#AAPL OR @Apple"
"Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3","neutral",1,"Mon Dec 01 22:22:09  2014","#AAPL OR @Apple"
"The JH Hines Staff with their newly issued @apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH","neutral",0.7244,"Mon Dec 01 23:12:40  2014","#AAPL OR @Apple"
"@robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles","neutral",0.6552,"Mon Dec 01 23:43:14  2014","#AAPL OR @Apple"
"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc","negative",1,"Mon Dec 01 23:55:55  2014","#AAPL OR @Apple"
"i get the storage almost full notification literally every 5 minutes chill @apple","negative",0.8928,"Tue Dec 02 00:06:05  2014","#AAPL OR @Apple"
"I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n","negative",0.8558,"Tue Dec 02 00:14:25  2014","#AAPL OR @Apple"
"@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle","negative",0.8701,"Tue Dec 02 00:15:11  2014","#AAPL OR @Apple"
"Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",0.7244,"Tue Dec 02 00:15:14  2014","#AAPL OR @Apple"
"Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads","positive",0.5724,"Tue Dec 02 00:15:16  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",1,"Tue Dec 02 00:15:26  2014","#AAPL OR @Apple"
"Good be huge RT @thehill Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/QmLBuvG6Xz","neutral",0.7179,"Tue Dec 02 00:16:03  2014","#AAPL OR @Apple"
"@thehill @Apple i cite the 4th amendment as a retort","neutral",1,"Tue Dec 02 00:16:04  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",0.6604,"Tue Dec 02 00:16:27  2014","#AAPL OR @Apple"
"RT @saxonidubom: @rwang0 @Apple Thanks...thinking of upgrading.","positive",1,"Tue Dec 02 00:17:02  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",0.6515,"Tue Dec 02 00:18:59  2014","#AAPL OR @Apple"
"Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/mptcggWZO1","neutral",1,"Tue Dec 02 00:22:26  2014","#AAPL OR @Apple"
"Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV #AAPL","neutral",1,"Tue Dec 02 00:22:31  2014","#AAPL OR @Apple"
"http://t.co/hpC7p1rHvA
need help on using your #Apple #iPhone6 &amp; #iPhone6Plus ? #checkitout
@applenws @apple http://t.co/K3fQHPazMc","neutral",1,"Tue Dec 02 00:23:47  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",1,"Tue Dec 02 00:24:26  2014","#AAPL OR @Apple"
