"Text","Sentiment","Sentiment_directed_at"
".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.","negative","iPhone"
"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW","positive","iPad or iPhone App"
"@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.","positive","iPad"
"@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw","negative","iPad or iPhone App"
"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)","positive","Google"
"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan","positive","Android"
"Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB","positive","iPad or iPhone App"
"Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear","positive","Apple"
"Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail","positive","Android"
"Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.","positive","Android App"
"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.","positive","Android App"
"Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB","positive","Other Google product or service"
"Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l","positive","iPad or iPhone App"
"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw","positive","iPad or iPhone App"
"I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone","negative","iPhone"
"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.","positive","iPad or iPhone App"
"Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV","positive","iPad or iPhone App"
"Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?","positive","iPad"
"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!","positive","iPad or iPhone App"
"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw","positive","Android App"
"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7","positive","iPad or iPhone App"
"Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW","positive","Android App"
